ML_ID,Species,Tags
626133579,American Golden-Plover,Plover shorebirds
623719872,American Golden-Plover,Plover shorebirds
61066461,American Golden-Plover,Plover shorebirds
268786371,American Golden-Plover,Plover shorebirds
205574931,American Golden-Plover,Plover shorebirds
489277321,American Golden-Plover,Plover shorebirds
116050311,American Golden-Plover,Plover shorebirds
609459612,American Golden-Plover,Plover shorebirds
620515253,Killdeer,Plover shorebirds
154491601,Killdeer,Plover shorebirds
585377861,Killdeer,Plover shorebirds
620515251,Killdeer,Plover shorebirds
287345321,Killdeer,Plover shorebirds
124196721,Killdeer,Plover shorebirds
584677341,Killdeer,Plover shorebirds
584677311,Killdeer,Plover shorebirds
189539121,Killdeer,Plover shorebirds
399493781,Killdeer,Plover shorebirds
513305711,Killdeer,Plover shorebirds
381271091,Killdeer,Plover shorebirds
399493801,Killdeer,Plover shorebirds
217654551,Killdeer,Plover shorebirds
640168950,Killdeer,Plover shorebirds
183209231,Semipalmated Plover,Plover shorebirds
468942141,Semipalmated Plover,Plover shorebirds
495167241,Semipalmated Plover,Plover shorebirds
338179791,Semipalmated Plover,Plover shorebirds
479557021,Semipalmated Plover,Plover shorebirds
376584331,Semipalmated Plover,Plover shorebirds
180042941,Semipalmated Plover,Plover shorebirds
177027961,Semipalmated Plover,Plover shorebirds
346131641,Semipalmated Plover,Plover shorebirds
495122371,Semipalmated Plover,Plover shorebirds
608458161,Semipalmated Plover,Plover shorebirds
74710661,Semipalmated Plover,Plover shorebirds
267476841,Semipalmated Plover,Plover shorebirds
394051661,Semipalmated Plover,Plover shorebirds
331772911,Semipalmated Plover,Plover shorebirds
358655321,Piping Plover,Plover shorebirds
358091621,Piping Plover,Plover shorebirds
622434073,Piping Plover,Plover shorebirds
621236356,Piping Plover,Plover shorebirds
617812259,Piping Plover,Plover shorebirds
638224976,Piping Plover,Plover shorebirds
600332471,Piping Plover,Plover shorebirds
586620101,Piping Plover,Plover shorebirds
463575581,Piping Plover,Plover shorebirds
620549394,Piping Plover,Plover shorebirds
112934721,Piping Plover,Plover shorebirds
568585821,Piping Plover,Plover shorebirds
449179831,Piping Plover,Plover shorebirds
463760361,Piping Plover,Plover shorebirds
473589201,Piping Plover,Plover shorebirds
458343481,Upland Sandpiper,Sandpiper shorebirds
165207611,Upland Sandpiper,Sandpiper shorebirds
458343501,Upland Sandpiper,Sandpiper shorebirds
352034851,Upland Sandpiper,Sandpiper shorebirds
397793701,Upland Sandpiper,Sandpiper shorebirds
348233321,Upland Sandpiper,Sandpiper shorebirds
582058551,Upland Sandpiper,Sandpiper shorebirds
591606601,Upland Sandpiper,Sandpiper shorebirds
240591711,Upland Sandpiper,Sandpiper shorebirds
470536021,Upland Sandpiper,Sandpiper shorebirds
242891821,Upland Sandpiper,Sandpiper shorebirds
604736061,Upland Sandpiper,Sandpiper shorebirds
618031392,Upland Sandpiper,Sandpiper shorebirds
151144531,Upland Sandpiper,Sandpiper shorebirds
253778941,Upland Sandpiper,Sandpiper shorebirds
257786691,Whimbrel,shorebirds
636504728,Whimbrel,shorebirds
356654741,Whimbrel,shorebirds
471854621,Whimbrel,shorebirds
477387861,Whimbrel,shorebirds
641820439,Whimbrel,shorebirds
613135513,Whimbrel,shorebirds
625837780,Whimbrel,shorebirds
187841291,Whimbrel,shorebirds
381230991,Whimbrel,shorebirds
363485301,Whimbrel,shorebirds
361760061,Whimbrel,shorebirds
610684763,Whimbrel,shorebirds
616597488,Whimbrel,shorebirds
86708201,Whimbrel,shorebirds
373560651,Hudsonian Godwit,Godwit shorebirds
453452671,Hudsonian Godwit,Godwit shorebirds
113701871,Hudsonian Godwit,Godwit shorebirds
160893381,Hudsonian Godwit,Godwit shorebirds
224848431,Hudsonian Godwit,Godwit shorebirds
622565471,Hudsonian Godwit,Godwit shorebirds
620204528,Hudsonian Godwit,Godwit shorebirds
480637931,Hudsonian Godwit,Godwit shorebirds
591794541,Hudsonian Godwit,Godwit shorebirds
609262234,Hudsonian Godwit,Godwit shorebirds
439575581,Hudsonian Godwit,Godwit shorebirds
567218571,Hudsonian Godwit,Godwit shorebirds
610782677,Hudsonian Godwit,Godwit shorebirds
306085581,Hudsonian Godwit,Godwit shorebirds
374970711,Hudsonian Godwit,Godwit shorebirds
460975691,Marbled Godwit,Godwit shorebirds
346499011,Marbled Godwit,Godwit shorebirds
225930061,Marbled Godwit,Godwit shorebirds
262554591,Marbled Godwit,Godwit shorebirds
409657191,Marbled Godwit,Godwit shorebirds
610494401,Marbled Godwit,Godwit shorebirds
610494400,Marbled Godwit,Godwit shorebirds
